YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1954,PRIVATE,84,43.7434226552,-79.4370080631
1955,PRIVATE,94,43.727425208,-79.2987499996
1955,PRIVATE,92,43.7280385906,-79.298841109
1955,PRIVATE,94,43.7276976882,-79.2994488565
1955,PRIVATE,96,43.7284154866,-79.3006056472
1955,PRIVATE,95,43.70796583,-79.302427359
1955,PRIVATE,90,43.7273459768,-79.3025559656
1955,PRIVATE,95,43.7290550556,-79.3049498934
1955,PRIVATE,95,43.7284796451,-79.3050102685
1955,PRIVATE,92,43.7282648735,-79.3058539405
1955,PRIVATE,96,43.7279966031,-79.3068020912
1955,PRIVATE,76,43.7025056164,-79.3120345151
1955,PRIVATE,97,43.69086838,-79.343018227
1955,PRIVATE,94,43.702214085,-79.34780065
1955,PRIVATE,94,43.6892545764,-79.3481301211
1955,PRIVATE,98,43.6907938758,-79.3550051135
1955,PRIVATE,97,43.6589253856,-79.3715946717
1955,PRIVATE,93,43.674157704,-79.385724268
1955,PRIVATE,88,43.7088608349,-79.38577257
1955,PRIVATE,42,43.689555816,-79.3860183305
1955,PRIVATE,99,43.70726196,-79.392157865
1955,PRIVATE,97,43.694335654,-79.397560276
1955,PRIVATE,96,43.687758789,-79.399725515
1955,PRIVATE,93,43.687281699,-79.399728153
1955,PRIVATE,94,43.688285503,-79.399898958
1955,PRIVATE,78,43.688402926,-79.401606294
1955,PRIVATE,85,43.723761725,-79.402367148
1955,PRIVATE,78,43.6964637317,-79.4032380661
1955,PRIVATE,93,43.705039078,-79.405292084
1955,PRIVATE,86,43.686956506,-79.420413193
1955,PRIVATE,82,43.6869765748,-79.4221588918
1955,PRIVATE,76,43.6865568405,-79.422647444
1955,PRIVATE,95,43.6873436223,-79.4236433658
1955,PRIVATE,89,43.7390527397,-79.4243280269
1955,PRIVATE,91,43.6500598617,-79.4285544502
1955,PRIVATE,96,43.650247254,-79.428597853
1955,PRIVATE,94,43.7237073315,-79.4303236253
1955,PRIVATE,92,43.7239351487,-79.4303884781
